requisito,valor,peso
Requisito_1,16,16
Requisito_2,5,9
Requisito_3,2,26
Requisito_4,15,12
Requisito_5,5,34
Requisito_6,9,27
Requisito_7,1,22
Requisito_8,7,40
Requisito_9,17,34
Requisito_10,9,27
Requisito_11,18,10
Requisito_12,6,25
Requisito_13,12,10
Requisito_14,16,31
Requisito_15,16,30
Requisito_16,1,9
Requisito_17,4,21
Requisito_18,13,11
Requisito_19,9,26
Requisito_20,9,23
Requisito_21,18,20
Requisito_22,9,19
Requisito_23,11,29
Requisito_24,14,17
Requisito_25,10,15
Requisito_26,3,36
Requisito_27,12,9
Requisito_28,15,21
Requisito_29,4,9
Requisito_30,11,25
