requisito,valor,peso
Requisito_1,5,29
Requisito_2,18,24
Requisito_3,8,24
Requisito_4,16,14
Requisito_5,16,40
Requisito_6,16,24
Requisito_7,12,17
Requisito_8,2,28
Requisito_9,5,12
Requisito_10,14,24
Requisito_11,18,32
Requisito_12,10,17
Requisito_13,16,29
Requisito_14,2,15
Requisito_15,9,32
Requisito_16,17,17
Requisito_17,13,33
Requisito_18,7,22
Requisito_19,9,35
Requisito_20,13,25
Requisito_21,16,34
Requisito_22,10,23
Requisito_23,12,20
Requisito_24,9,25
Requisito_25,18,39
Requisito_26,11,19
Requisito_27,11,16
Requisito_28,13,11
Requisito_29,7,31
Requisito_30,18,35
Requisito_31,14,40
Requisito_32,9,38
Requisito_33,4,23
Requisito_34,13,32
Requisito_35,10,12
Requisito_36,5,40
Requisito_37,11,38
Requisito_38,7,31
Requisito_39,10,35
Requisito_40,2,37
Requisito_41,13,13
Requisito_42,6,14
Requisito_43,10,24
Requisito_44,12,11
Requisito_45,2,40
Requisito_46,17,31
Requisito_47,10,23
Requisito_48,18,10
Requisito_49,5,25
Requisito_50,8,36
