requisito,valor,peso
Requisito_1,34,97
Requisito_2,30,133
Requisito_3,20,142
Requisito_4,25,128
Requisito_5,6,110
Requisito_6,33,74
Requisito_7,35,131
Requisito_8,24,141
Requisito_9,43,50
Requisito_10,26,41
Requisito_11,40,134
Requisito_12,46,109
Requisito_13,28,66
Requisito_14,29,28
Requisito_15,22,41
Requisito_16,48,114
Requisito_17,28,62
Requisito_18,26,122
Requisito_19,38,28
Requisito_20,32,40
Requisito_21,21,126
Requisito_22,6,110
Requisito_23,47,74
Requisito_24,54,80
Requisito_25,46,42
Requisito_26,8,129
Requisito_27,30,47
Requisito_28,13,135
Requisito_29,5,42
Requisito_30,28,46
Requisito_31,18,43
Requisito_32,50,86
Requisito_33,4,123
Requisito_34,10,18
Requisito_35,45,31
Requisito_36,33,83
Requisito_37,8,127
Requisito_38,46,97
Requisito_39,39,58
Requisito_40,45,132
Requisito_41,16,85
Requisito_42,53,68
Requisito_43,40,114
Requisito_44,44,43
Requisito_45,10,128
Requisito_46,25,95
Requisito_47,4,112
Requisito_48,9,56
Requisito_49,26,31
Requisito_50,30,115
Requisito_51,29,28
Requisito_52,42,139
Requisito_53,11,83
Requisito_54,43,86
Requisito_55,47,115
Requisito_56,9,90
Requisito_57,50,130
Requisito_58,32,72
Requisito_59,9,117
Requisito_60,50,131
Requisito_61,23,69
Requisito_62,7,93
Requisito_63,43,38
Requisito_64,22,48
Requisito_65,35,95
Requisito_66,20,130
Requisito_67,38,105
Requisito_68,12,104
Requisito_69,54,142
Requisito_70,3,41
Requisito_71,30,116
Requisito_72,25,47
Requisito_73,45,48
Requisito_74,4,88
Requisito_75,50,106
Requisito_76,18,43
Requisito_77,8,56
Requisito_78,12,128
Requisito_79,18,19
Requisito_80,41,37
Requisito_81,7,124
Requisito_82,17,68
Requisito_83,27,64
Requisito_84,20,81
Requisito_85,23,123
Requisito_86,15,120
Requisito_87,14,43
Requisito_88,32,73
Requisito_89,44,84
Requisito_90,31,23
Requisito_91,32,121
Requisito_92,48,85
Requisito_93,32,104
Requisito_94,40,60
Requisito_95,16,83
Requisito_96,22,76
Requisito_97,6,109
Requisito_98,30,125
Requisito_99,33,100
Requisito_100,28,76
Requisito_101,49,108
Requisito_102,15,39
Requisito_103,41,34
Requisito_104,3,125
Requisito_105,21,133
Requisito_106,23,88
Requisito_107,16,42
Requisito_108,45,76
Requisito_109,25,103
Requisito_110,9,140
Requisito_111,4,28
Requisito_112,48,108
Requisito_113,19,138
Requisito_114,52,78
Requisito_115,43,86
Requisito_116,2,55
Requisito_117,38,67
Requisito_118,12,124
Requisito_119,30,26
Requisito_120,42,89
Requisito_121,33,57
Requisito_122,32,35
Requisito_123,52,99
Requisito_124,21,36
Requisito_125,14,29
Requisito_126,34,92
Requisito_127,13,125
Requisito_128,8,104
Requisito_129,26,58
Requisito_130,21,98
Requisito_131,27,92
Requisito_132,21,125
Requisito_133,26,88
Requisito_134,39,59
Requisito_135,25,54
Requisito_136,17,133
Requisito_137,50,38
Requisito_138,39,27
Requisito_139,19,44
Requisito_140,10,39
Requisito_141,27,46
Requisito_142,51,27
Requisito_143,17,92
Requisito_144,24,102
Requisito_145,50,83
Requisito_146,3,118
Requisito_147,6,117
Requisito_148,28,118
Requisito_149,7,34
Requisito_150,21,134
Requisito_151,21,37
Requisito_152,48,54
Requisito_153,50,100
Requisito_154,20,113
Requisito_155,8,143
Requisito_156,38,37
Requisito_157,44,113
Requisito_158,36,60
Requisito_159,45,77
Requisito_160,5,42
Requisito_161,28,141
Requisito_162,7,105
Requisito_163,45,31
Requisito_164,17,93
Requisito_165,42,91
Requisito_166,52,72
Requisito_167,20,66
Requisito_168,9,121
Requisito_169,53,37
Requisito_170,4,42
Requisito_171,25,23
Requisito_172,14,142
Requisito_173,25,16
Requisito_174,21,55
Requisito_175,31,48
Requisito_176,35,124
Requisito_177,19,56
Requisito_178,14,48
Requisito_179,5,19
Requisito_180,36,140
Requisito_181,11,27
Requisito_182,32,103
Requisito_183,9,131
Requisito_184,29,90
Requisito_185,10,75
Requisito_186,47,128
Requisito_187,27,60
Requisito_188,54,67
Requisito_189,5,91
Requisito_190,42,125
Requisito_191,19,83
Requisito_192,7,77
Requisito_193,38,25
Requisito_194,38,69
Requisito_195,34,101
Requisito_196,7,123
Requisito_197,41,78
Requisito_198,48,124
Requisito_199,28,91
Requisito_200,27,93
