requisito,valor,peso
Requisito_1,24,85
Requisito_2,50,49
Requisito_3,16,53
Requisito_4,45,90
Requisito_5,8,135
Requisito_6,47,121
Requisito_7,42,70
Requisito_8,49,21
Requisito_9,49,117
Requisito_10,26,144
Requisito_11,16,80
Requisito_12,48,36
Requisito_13,38,80
Requisito_14,5,57
Requisito_15,4,33
Requisito_16,26,134
Requisito_17,2,70
Requisito_18,6,36
Requisito_19,25,22
Requisito_20,49,85
Requisito_21,4,58
Requisito_22,10,87
Requisito_23,23,60
Requisito_24,14,69
Requisito_25,54,87
Requisito_26,16,126
Requisito_27,44,32
Requisito_28,44,111
Requisito_29,48,38
Requisito_30,9,36
Requisito_31,8,35
Requisito_32,16,104
Requisito_33,48,54
Requisito_34,18,52
Requisito_35,52,109
Requisito_36,34,35
Requisito_37,36,83
Requisito_38,27,16
Requisito_39,27,143
Requisito_40,24,120
Requisito_41,29,27
Requisito_42,36,95
Requisito_43,19,16
Requisito_44,16,98
Requisito_45,31,65
Requisito_46,41,106
Requisito_47,37,110
Requisito_48,42,50
Requisito_49,15,96
Requisito_50,34,137
Requisito_51,43,104
Requisito_52,37,96
Requisito_53,11,86
Requisito_54,32,48
Requisito_55,12,110
Requisito_56,13,23
Requisito_57,23,93
Requisito_58,5,118
Requisito_59,36,30
Requisito_60,35,99
Requisito_61,18,60
Requisito_62,22,87
Requisito_63,15,111
Requisito_64,27,86
Requisito_65,46,71
Requisito_66,45,52
Requisito_67,22,61
Requisito_68,7,69
Requisito_69,15,103
Requisito_70,37,95
Requisito_71,5,37
Requisito_72,41,126
Requisito_73,44,127
Requisito_74,7,82
Requisito_75,31,16
Requisito_76,39,49
Requisito_77,18,91
Requisito_78,47,43
Requisito_79,21,57
Requisito_80,45,53
Requisito_81,2,56
Requisito_82,44,19
Requisito_83,43,55
Requisito_84,45,44
Requisito_85,11,135
Requisito_86,54,128
Requisito_87,23,79
Requisito_88,33,124
Requisito_89,3,133
Requisito_90,45,77
Requisito_91,49,78
Requisito_92,29,114
Requisito_93,15,39
Requisito_94,45,42
Requisito_95,29,40
Requisito_96,49,40
