requisito,valor,peso
Requisito_1,7,129
Requisito_2,25,21
Requisito_3,30,69
Requisito_4,9,22
Requisito_5,22,87
Requisito_6,10,103
Requisito_7,37,80
Requisito_8,54,75
Requisito_9,40,82
Requisito_10,33,43
Requisito_11,47,136
Requisito_12,34,136
Requisito_13,18,108
Requisito_14,39,52
Requisito_15,5,99
Requisito_16,11,35
Requisito_17,29,81
Requisito_18,37,114
Requisito_19,20,53
Requisito_20,33,101
Requisito_21,4,46
Requisito_22,19,112
Requisito_23,34,53
Requisito_24,38,112
Requisito_25,41,119
Requisito_26,14,73
Requisito_27,19,125
Requisito_28,27,84
Requisito_29,33,123
Requisito_30,20,77
Requisito_31,24,64
Requisito_32,54,81
Requisito_33,37,84
Requisito_34,49,140
Requisito_35,44,99
Requisito_36,13,98
Requisito_37,10,115
Requisito_38,5,71
Requisito_39,25,124
Requisito_40,43,122
Requisito_41,34,84
Requisito_42,43,139
Requisito_43,8,78
Requisito_44,40,115
Requisito_45,53,114
Requisito_46,39,92
Requisito_47,6,49
Requisito_48,44,99
Requisito_49,32,70
Requisito_50,25,88
