requisito,valor,peso
Requisito_1,30,51
Requisito_2,33,50
Requisito_3,10,22
Requisito_4,5,89
Requisito_5,31,34
Requisito_6,11,120
Requisito_7,19,94
Requisito_8,2,73
Requisito_9,15,144
Requisito_10,40,144
Requisito_11,28,85
Requisito_12,21,27
Requisito_13,13,84
Requisito_14,25,25
Requisito_15,33,111
Requisito_16,33,106
Requisito_17,2,22
Requisito_18,9,70
Requisito_19,46,118
Requisito_20,40,28
Requisito_21,18,89
Requisito_22,38,82
Requisito_23,45,76
Requisito_24,36,65
Requisito_25,19,61
Requisito_26,38,103
Requisito_27,48,101
Requisito_28,28,54
Requisito_29,52,95
Requisito_30,47,44
