requisito,valor,peso
Requisito_1,13,15
Requisito_2,3,29
Requisito_3,9,9
Requisito_4,5,30
Requisito_5,5,18
Requisito_6,18,22
Requisito_7,10,10
Requisito_8,11,39
Requisito_9,12,9
Requisito_10,16,14
Requisito_11,7,8
Requisito_12,13,31
Requisito_13,6,40
Requisito_14,4,37
Requisito_15,13,13
Requisito_16,9,14
Requisito_17,14,28
Requisito_18,16,14
Requisito_19,6,37
Requisito_20,7,15
Requisito_21,5,38
Requisito_22,13,14
Requisito_23,18,31
Requisito_24,2,24
Requisito_25,17,27
Requisito_26,12,21
Requisito_27,9,39
Requisito_28,12,34
Requisito_29,6,10
Requisito_30,10,9
Requisito_31,14,28
Requisito_32,1,25
Requisito_33,8,22
Requisito_34,12,40
Requisito_35,13,25
Requisito_36,14,8
Requisito_37,3,24
Requisito_38,11,9
Requisito_39,3,11
Requisito_40,11,17
Requisito_41,18,21
Requisito_42,9,10
Requisito_43,7,21
Requisito_44,17,18
Requisito_45,17,35
Requisito_46,5,25
Requisito_47,17,38
Requisito_48,4,38
Requisito_49,7,9
Requisito_50,18,13
Requisito_51,5,12
Requisito_52,13,27
Requisito_53,13,32
Requisito_54,9,9
Requisito_55,5,34
Requisito_56,6,9
Requisito_57,5,23
Requisito_58,10,26
Requisito_59,15,34
Requisito_60,3,26
Requisito_61,1,26
Requisito_62,1,25
Requisito_63,3,8
Requisito_64,17,16
Requisito_65,10,29
Requisito_66,5,39
Requisito_67,10,21
Requisito_68,3,10
Requisito_69,5,27
Requisito_70,5,28
