requisito,valor,peso
Requisito_1,42,71
Requisito_2,38,24
Requisito_3,28,143
Requisito_4,18,144
Requisito_5,19,87
Requisito_6,2,131
Requisito_7,8,81
Requisito_8,2,40
Requisito_9,49,35
Requisito_10,35,55
Requisito_11,5,122
Requisito_12,21,41
Requisito_13,30,51
Requisito_14,22,123
Requisito_15,42,68
Requisito_16,43,129
Requisito_17,30,121
Requisito_18,41,66
Requisito_19,4,61
Requisito_20,33,106
Requisito_21,28,68
Requisito_22,34,102
Requisito_23,39,45
Requisito_24,20,19
Requisito_25,5,31
Requisito_26,31,86
Requisito_27,3,121
Requisito_28,18,59
Requisito_29,40,34
Requisito_30,52,144
Requisito_31,45,138
Requisito_32,43,60
Requisito_33,33,78
Requisito_34,45,129
Requisito_35,26,71
Requisito_36,53,53
Requisito_37,21,128
Requisito_38,21,141
Requisito_39,31,57
Requisito_40,21,37
Requisito_41,15,139
Requisito_42,19,112
Requisito_43,26,22
Requisito_44,24,71
Requisito_45,21,57
Requisito_46,15,85
Requisito_47,23,17
Requisito_48,13,98
Requisito_49,13,109
Requisito_50,44,63
Requisito_51,5,81
Requisito_52,27,111
Requisito_53,25,134
Requisito_54,8,52
Requisito_55,10,53
Requisito_56,22,99
Requisito_57,47,17
Requisito_58,31,94
Requisito_59,12,53
Requisito_60,7,118
Requisito_61,19,28
Requisito_62,11,57
Requisito_63,21,107
Requisito_64,14,59
Requisito_65,10,91
Requisito_66,21,41
Requisito_67,46,137
Requisito_68,2,41
Requisito_69,42,41
Requisito_70,38,61
Requisito_71,11,131
Requisito_72,15,68
Requisito_73,53,80
Requisito_74,21,51
Requisito_75,32,59
Requisito_76,46,52
Requisito_77,24,127
Requisito_78,37,102
Requisito_79,28,24
Requisito_80,50,68
Requisito_81,43,125
Requisito_82,33,31
Requisito_83,42,82
Requisito_84,36,97
Requisito_85,42,115
Requisito_86,44,113
Requisito_87,17,50
Requisito_88,30,53
Requisito_89,32,47
Requisito_90,51,34
Requisito_91,16,16
Requisito_92,43,18
Requisito_93,52,90
