requisito,valor,peso
Requisito_1,29,26
Requisito_2,49,134
Requisito_3,26,38
Requisito_4,46,63
Requisito_5,8,91
Requisito_6,18,105
Requisito_7,5,24
Requisito_8,34,111
Requisito_9,20,76
Requisito_10,36,24
Requisito_11,10,85
Requisito_12,17,130
Requisito_13,27,47
Requisito_14,7,100
Requisito_15,39,80
Requisito_16,3,54
Requisito_17,49,104
Requisito_18,47,51
Requisito_19,37,58
Requisito_20,49,73
Requisito_21,20,24
Requisito_22,22,140
Requisito_23,24,23
Requisito_24,32,41
Requisito_25,15,16
Requisito_26,27,108
Requisito_27,49,58
Requisito_28,38,43
Requisito_29,31,119
Requisito_30,7,85
Requisito_31,8,127
Requisito_32,36,97
Requisito_33,38,140
Requisito_34,54,40
Requisito_35,13,133
Requisito_36,15,45
Requisito_37,10,139
Requisito_38,26,40
Requisito_39,36,111
Requisito_40,5,82
Requisito_41,34,94
Requisito_42,25,69
Requisito_43,18,140
Requisito_44,40,104
Requisito_45,28,58
Requisito_46,4,92
Requisito_47,37,22
Requisito_48,46,124
Requisito_49,35,96
Requisito_50,46,19
Requisito_51,43,87
Requisito_52,48,75
Requisito_53,44,73
Requisito_54,25,112
Requisito_55,38,87
Requisito_56,29,18
Requisito_57,6,83
Requisito_58,23,21
Requisito_59,6,30
Requisito_60,22,55
Requisito_61,36,71
Requisito_62,18,25
Requisito_63,15,69
Requisito_64,43,144
Requisito_65,54,59
Requisito_66,41,144
Requisito_67,29,52
Requisito_68,19,144
Requisito_69,32,47
Requisito_70,32,68
