sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_1,7.0,129.0
Sprint 1,Requisito_3,30.0,69.0
Sprint 1,Requisito_43,8.0,78.0
Sprint 1,Requisito_44,40.0,115.0
Sprint 1,Requisito_50,25.0,88.0
Sprint 2,Requisito_2,25.0,21.0
Sprint 2,Requisito_5,22.0,87.0
Sprint 2,Requisito_8,54.0,75.0
Sprint 2,Requisito_30,20.0,77.0
Sprint 2,Requisito_31,24.0,64.0
Sprint 2,Requisito_41,34.0,84.0
Sprint 2,Requisito_49,32.0,70.0
Sprint 3,Requisito_11,47.0,136.0
Sprint 3,Requisito_19,20.0,53.0
Sprint 3,Requisito_21,4.0,46.0
Sprint 3,Requisito_25,41.0,119.0
Sprint 3,Requisito_40,43.0,122.0
Sprint 4,Requisito_7,37.0,80.0
Sprint 4,Requisito_17,29.0,81.0
Sprint 4,Requisito_20,33.0,101.0
Sprint 4,Requisito_23,34.0,53.0
Sprint 4,Requisito_28,27.0,84.0
Sprint 4,Requisito_32,54.0,81.0
Sprint 5,Requisito_13,18.0,108.0
Sprint 5,Requisito_27,19.0,125.0
Sprint 5,Requisito_29,33.0,123.0
Sprint 5,Requisito_39,25.0,124.0
Sprint 6,Requisito_6,10.0,103.0
Sprint 6,Requisito_12,34.0,136.0
Sprint 6,Requisito_14,39.0,52.0
Sprint 6,Requisito_24,38.0,112.0
Sprint 6,Requisito_26,14.0,73.0
Sprint 7,Requisito_22,19.0,112.0
Sprint 7,Requisito_37,10.0,115.0
Sprint 7,Requisito_42,43.0,139.0
Sprint 7,Requisito_45,53.0,114.0
Sprint 8,Requisito_9,40.0,82.0
Sprint 8,Requisito_10,33.0,43.0
Sprint 8,Requisito_18,37.0,114.0
Sprint 8,Requisito_34,49.0,140.0
Sprint 8,Requisito_35,44.0,99.0
Sprint 9,Requisito_4,9.0,22.0
Sprint 9,Requisito_16,11.0,35.0
Sprint 9,Requisito_33,37.0,84.0
Sprint 9,Requisito_36,13.0,98.0
Sprint 9,Requisito_46,39.0,92.0
Sprint 9,Requisito_47,6.0,49.0
Sprint 9,Requisito_48,44.0,99.0
