sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_1,15.0,37.0
Sprint 1,Requisito_182,17.0,17.0
Sprint 1,Requisito_238,15.0,8.0
Sprint 1,Requisito_306,14.0,20.0
Sprint 1,Requisito_360,11.0,32.0
Sprint 1,Requisito_363,13.0,30.0
Sprint 1,Requisito_452,1.0,27.0
Sprint 1,Requisito_478,13.0,9.0
Sprint 2,Requisito_44,18.0,24.0
Sprint 2,Requisito_79,8.0,35.0
Sprint 2,Requisito_166,18.0,14.0
Sprint 2,Requisito_207,11.0,37.0
Sprint 2,Requisito_318,15.0,16.0
Sprint 2,Requisito_361,14.0,31.0
Sprint 2,Requisito_482,6.0,20.0
Sprint 3,Requisito_2,6.0,19.0
Sprint 3,Requisito_4,18.0,11.0
Sprint 3,Requisito_14,1.0,32.0
Sprint 3,Requisito_16,6.0,30.0
Sprint 3,Requisito_17,11.0,14.0
Sprint 3,Requisito_292,18.0,37.0
Sprint 3,Requisito_359,12.0,21.0
Sprint 3,Requisito_494,14.0,15.0
Sprint 4,Requisito_13,18.0,15.0
Sprint 4,Requisito_309,3.0,37.0
Sprint 4,Requisito_485,12.0,31.0
Sprint 4,Requisito_486,8.0,24.0
Sprint 4,Requisito_488,13.0,36.0
Sprint 4,Requisito_495,15.0,20.0
Sprint 4,Requisito_497,18.0,14.0
Sprint 5,Requisito_23,6.0,30.0
Sprint 5,Requisito_88,11.0,23.0
Sprint 5,Requisito_142,8.0,29.0
Sprint 5,Requisito_271,13.0,30.0
Sprint 5,Requisito_274,15.0,37.0
Sprint 5,Requisito_294,18.0,30.0
Sprint 6,Requisito_39,16.0,11.0
Sprint 6,Requisito_56,18.0,9.0
Sprint 6,Requisito_99,3.0,37.0
Sprint 6,Requisito_140,1.0,32.0
Sprint 6,Requisito_151,14.0,11.0
Sprint 6,Requisito_191,14.0,16.0
Sprint 6,Requisito_225,8.0,34.0
Sprint 6,Requisito_397,16.0,9.0
Sprint 6,Requisito_487,15.0,19.0
Sprint 7,Requisito_33,9.0,30.0
Sprint 7,Requisito_40,6.0,36.0
Sprint 7,Requisito_213,13.0,25.0
Sprint 7,Requisito_444,1.0,30.0
Sprint 7,Requisito_489,4.0,30.0
Sprint 7,Requisito_491,8.0,29.0
Sprint 8,Requisito_43,7.0,17.0
Sprint 8,Requisito_331,8.0,27.0
Sprint 8,Requisito_333,17.0,22.0
Sprint 8,Requisito_334,10.0,34.0
Sprint 8,Requisito_335,18.0,26.0
Sprint 8,Requisito_477,3.0,40.0
Sprint 8,Requisito_496,15.0,14.0
Sprint 9,Requisito_32,9.0,8.0
Sprint 9,Requisito_47,12.0,21.0
Sprint 9,Requisito_48,16.0,40.0
Sprint 9,Requisito_49,14.0,33.0
Sprint 9,Requisito_50,4.0,15.0
Sprint 9,Requisito_51,1.0,15.0
Sprint 9,Requisito_52,14.0,17.0
Sprint 9,Requisito_54,3.0,31.0
Sprint 10,Requisito_9,11.0,15.0
Sprint 10,Requisito_27,5.0,28.0
