sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_2,49.0,134.0
Sprint 1,Requisito_8,34.0,111.0
Sprint 1,Requisito_15,39.0,80.0
Sprint 1,Requisito_49,35.0,96.0
Sprint 1,Requisito_70,32.0,68.0
Sprint 2,Requisito_10,36.0,24.0
Sprint 2,Requisito_20,49.0,73.0
Sprint 2,Requisito_21,20.0,24.0
Sprint 2,Requisito_23,24.0,23.0
Sprint 2,Requisito_32,36.0,97.0
Sprint 2,Requisito_33,38.0,140.0
Sprint 2,Requisito_44,40.0,104.0
Sprint 2,Requisito_45,28.0,58.0
Sprint 2,Requisito_64,43.0,144.0
Sprint 3,Requisito_1,29.0,26.0
Sprint 3,Requisito_5,8.0,91.0
Sprint 3,Requisito_9,20.0,76.0
Sprint 3,Requisito_30,7.0,85.0
Sprint 3,Requisito_31,8.0,127.0
Sprint 3,Requisito_35,13.0,133.0
Sprint 3,Requisito_36,15.0,45.0
Sprint 3,Requisito_52,48.0,75.0
Sprint 4,Requisito_6,18.0,105.0
Sprint 4,Requisito_16,3.0,54.0
Sprint 4,Requisito_17,49.0,104.0
Sprint 4,Requisito_36,15.0,45.0
Sprint 4,Requisito_40,5.0,82.0
Sprint 4,Requisito_46,4.0,92.0
Sprint 4,Requisito_57,6.0,83.0
Sprint 4,Requisito_69,32.0,47.0
Sprint 5,Requisito_2,49.0,134.0
Sprint 5,Requisito_13,27.0,47.0
Sprint 5,Requisito_39,36.0,111.0
Sprint 5,Requisito_42,25.0,69.0
Sprint 5,Requisito_60,22.0,55.0
Sprint 5,Requisito_65,54.0,59.0
Sprint 5,Requisito_66,41.0,144.0
Sprint 6,Requisito_3,26.0,38.0
Sprint 6,Requisito_7,5.0,24.0
Sprint 6,Requisito_8,34.0,111.0
Sprint 6,Requisito_12,17.0,130.0
Sprint 6,Requisito_29,31.0,119.0
Sprint 6,Requisito_37,10.0,139.0
Sprint 6,Requisito_42,25.0,69.0
Sprint 6,Requisito_44,40.0,104.0
Sprint 6,Requisito_67,29.0,52.0
Sprint 7,Requisito_11,10.0,85.0
Sprint 7,Requisito_28,38.0,43.0
Sprint 7,Requisito_34,54.0,40.0
Sprint 7,Requisito_38,26.0,40.0
Sprint 7,Requisito_43,18.0,140.0
Sprint 7,Requisito_55,38.0,87.0
Sprint 7,Requisito_56,29.0,18.0
Sprint 7,Requisito_61,36.0,71.0
Sprint 8,Requisito_14,7.0,100.0
Sprint 8,Requisito_25,15.0,16.0
Sprint 8,Requisito_26,27.0,108.0
Sprint 8,Requisito_31,8.0,127.0
Sprint 8,Requisito_37,10.0,139.0
Sprint 8,Requisito_40,5.0,82.0
Sprint 8,Requisito_48,46.0,124.0
Sprint 8,Requisito_59,6.0,30.0
Sprint 9,Requisito_12,17.0,130.0
Sprint 9,Requisito_17,49.0,104.0
Sprint 9,Requisito_19,37.0,58.0
Sprint 9,Requisito_27,49.0,58.0
Sprint 9,Requisito_41,34.0,94.0
Sprint 9,Requisito_47,37.0,22.0
Sprint 9,Requisito_51,43.0,87.0
Sprint 9,Requisito_68,19.0,144.0
Sprint 10,Requisito_1,29.0,26.0
Sprint 10,Requisito_11,10.0,85.0
Sprint 10,Requisito_14,7.0,100.0
Sprint 10,Requisito_18,47.0,51.0
Sprint 10,Requisito_22,22.0,140.0
Sprint 10,Requisito_29,31.0,119.0
Sprint 10,Requisito_50,46.0,19.0
Sprint 10,Requisito_53,44.0,73.0
Sprint 10,Requisito_63,15.0,69.0
Sprint 11,Requisito_4,46.0,63.0
Sprint 11,Requisito_22,22.0,140.0
Sprint 11,Requisito_24,32.0,41.0
Sprint 11,Requisito_33,38.0,140.0
Sprint 11,Requisito_54,25.0,112.0
Sprint 11,Requisito_58,23.0,21.0
Sprint 11,Requisito_62,18.0,25.0
