sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_2,33.0,50.0
Sprint 1,Requisito_3,10.0,22.0
Sprint 1,Requisito_4,5.0,89.0
Sprint 1,Requisito_6,11.0,120.0
Sprint 1,Requisito_7,19.0,94.0
Sprint 2,Requisito_5,31.0,34.0
Sprint 2,Requisito_8,2.0,73.0
Sprint 2,Requisito_9,15.0,144.0
Sprint 2,Requisito_10,40.0,144.0
Sprint 2,Requisito_11,28.0,85.0
Sprint 3,Requisito_12,21.0,27.0
Sprint 3,Requisito_13,13.0,84.0
Sprint 3,Requisito_14,25.0,25.0
Sprint 3,Requisito_15,33.0,111.0
Sprint 3,Requisito_16,33.0,106.0
Sprint 3,Requisito_19,46.0,118.0
Sprint 4,Requisito_17,2.0,22.0
Sprint 4,Requisito_18,9.0,70.0
Sprint 4,Requisito_21,18.0,89.0
Sprint 4,Requisito_22,38.0,82.0
Sprint 4,Requisito_23,45.0,76.0
Sprint 4,Requisito_24,36.0,65.0
Sprint 4,Requisito_25,19.0,61.0
Sprint 5,Requisito_1,30.0,51.0
Sprint 5,Requisito_20,40.0,28.0
Sprint 5,Requisito_26,38.0,103.0
Sprint 5,Requisito_27,48.0,101.0
Sprint 5,Requisito_28,28.0,54.0
Sprint 5,Requisito_29,52.0,95.0
Sprint 5,Requisito_30,47.0,44.0
