sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_1,16.0,33.0
Sprint 1,Requisito_6,7.0,40.0
Sprint 2,Requisito_2,13.0,39.0
Sprint 2,Requisito_3,6.0,38.0
Sprint 2,Requisito_5,2.0,26.0
Sprint 2,Requisito_7,13.0,21.0
Sprint 2,Requisito_8,8.0,28.0
Sprint 2,Requisito_11,4.0,21.0
Sprint 3,Requisito_9,6.0,33.0
Sprint 3,Requisito_10,5.0,18.0
Sprint 3,Requisito_12,14.0,25.0
Sprint 3,Requisito_13,13.0,31.0
Sprint 3,Requisito_15,16.0,37.0
Sprint 3,Requisito_16,5.0,33.0
Sprint 4,Requisito_4,5.0,11.0
Sprint 4,Requisito_14,17.0,22.0
Sprint 4,Requisito_17,7.0,18.0
Sprint 4,Requisito_18,10.0,38.0
Sprint 4,Requisito_19,3.0,23.0
Sprint 4,Requisito_20,11.0,28.0
Sprint 4,Requisito_22,18.0,26.0
Sprint 5,Requisito_21,2.0,17.0
Sprint 5,Requisito_23,8.0,29.0
Sprint 5,Requisito_24,8.0,27.0
Sprint 5,Requisito_25,16.0,19.0
Sprint 5,Requisito_26,2.0,15.0
Sprint 5,Requisito_28,2.0,33.0
Sprint 5,Requisito_29,5.0,39.0
Sprint 6,Requisito_30,6.0,29.0
Sprint 6,Requisito_31,16.0,28.0
Sprint 6,Requisito_32,14.0,18.0
Sprint 6,Requisito_33,1.0,28.0
Sprint 6,Requisito_34,15.0,35.0
Sprint 6,Requisito_35,1.0,12.0
Sprint 6,Requisito_36,9.0,30.0
Sprint 7,Requisito_37,6.0,9.0
Sprint 7,Requisito_38,11.0,25.0
Sprint 7,Requisito_39,8.0,26.0
Sprint 7,Requisito_40,4.0,32.0
Sprint 7,Requisito_42,11.0,8.0
Sprint 7,Requisito_43,5.0,26.0
Sprint 7,Requisito_44,12.0,21.0
Sprint 7,Requisito_46,16.0,32.0
Sprint 8,Requisito_27,8.0,17.0
Sprint 8,Requisito_45,7.0,12.0
Sprint 8,Requisito_47,6.0,27.0
Sprint 8,Requisito_49,18.0,27.0
Sprint 8,Requisito_50,7.0,24.0
Sprint 8,Requisito_51,2.0,23.0
Sprint 8,Requisito_52,7.0,39.0
Sprint 8,Requisito_95,1.0,11.0
Sprint 9,Requisito_56,3.0,34.0
Sprint 9,Requisito_57,5.0,30.0
Sprint 9,Requisito_58,7.0,39.0
Sprint 9,Requisito_62,11.0,38.0
Sprint 9,Requisito_63,2.0,34.0
Sprint 10,Requisito_41,12.0,19.0
Sprint 10,Requisito_61,10.0,21.0
Sprint 10,Requisito_64,14.0,40.0
Sprint 10,Requisito_65,11.0,36.0
Sprint 10,Requisito_66,15.0,26.0
Sprint 10,Requisito_67,16.0,31.0
Sprint 11,Requisito_53,12.0,9.0
Sprint 11,Requisito_68,18.0,36.0
Sprint 11,Requisito_69,3.0,31.0
Sprint 11,Requisito_70,16.0,22.0
Sprint 11,Requisito_71,17.0,36.0
Sprint 11,Requisito_72,12.0,39.0
Sprint 12,Requisito_59,10.0,10.0
Sprint 12,Requisito_60,2.0,8.0
Sprint 12,Requisito_73,18.0,16.0
Sprint 12,Requisito_74,13.0,14.0
Sprint 12,Requisito_75,15.0,31.0
Sprint 12,Requisito_76,14.0,20.0
Sprint 12,Requisito_78,11.0,14.0
Sprint 12,Requisito_79,13.0,34.0
Sprint 12,Requisito_80,6.0,32.0
Sprint 13,Requisito_55,16.0,32.0
Sprint 13,Requisito_77,14.0,11.0
Sprint 13,Requisito_81,14.0,11.0
Sprint 13,Requisito_82,16.0,14.0
Sprint 13,Requisito_83,10.0,35.0
Sprint 13,Requisito_85,8.0,24.0
Sprint 13,Requisito_87,15.0,36.0
Sprint 13,Requisito_94,14.0,16.0
Sprint 14,Requisito_48,6.0,29.0
Sprint 14,Requisito_54,3.0,31.0
Sprint 14,Requisito_86,4.0,14.0
Sprint 14,Requisito_88,4.0,19.0
Sprint 14,Requisito_89,15.0,11.0
Sprint 14,Requisito_90,4.0,34.0
Sprint 14,Requisito_91,4.0,24.0
Sprint 14,Requisito_92,17.0,14.0
Sprint 15,Requisito_84,3.0,31.0
Sprint 15,Requisito_93,9.0,10.0
Sprint 15,Requisito_96,16.0,24.0
Sprint 15,Requisito_97,4.0,35.0
Sprint 15,Requisito_98,11.0,40.0
Sprint 15,Requisito_99,18.0,18.0
Sprint 15,Requisito_100,15.0,22.0
