sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_1,42.0,71.0
Sprint 1,Requisito_9,49.0,35.0
Sprint 1,Requisito_11,5.0,122.0
Sprint 1,Requisito_14,22.0,123.0
Sprint 1,Requisito_139,25.0,16.0
Sprint 1,Requisito_286,38.0,50.0
Sprint 1,Requisito_287,50.0,58.0
Sprint 2,Requisito_6,2.0,131.0
Sprint 2,Requisito_33,33.0,78.0
Sprint 2,Requisito_84,36.0,97.0
Sprint 2,Requisito_214,37.0,56.0
Sprint 2,Requisito_296,54.0,109.0
Sprint 3,Requisito_15,42.0,68.0
Sprint 3,Requisito_273,44.0,70.0
Sprint 3,Requisito_275,41.0,141.0
Sprint 3,Requisito_276,53.0,139.0
Sprint 3,Requisito_282,8.0,51.0
Sprint 4,Requisito_8,2.0,40.0
Sprint 4,Requisito_10,35.0,55.0
Sprint 4,Requisito_278,35.0,120.0
Sprint 4,Requisito_284,10.0,119.0
Sprint 4,Requisito_288,28.0,98.0
Sprint 4,Requisito_295,26.0,45.0
Sprint 5,Requisito_13,30.0,51.0
Sprint 5,Requisito_21,28.0,68.0
Sprint 5,Requisito_23,39.0,45.0
Sprint 5,Requisito_28,18.0,59.0
Sprint 5,Requisito_46,15.0,85.0
Sprint 5,Requisito_199,21.0,52.0
Sprint 5,Requisito_221,34.0,51.0
Sprint 5,Requisito_238,28.0,26.0
Sprint 5,Requisito_258,27.0,30.0
Sprint 6,Requisito_26,31.0,86.0
Sprint 6,Requisito_31,45.0,138.0
Sprint 6,Requisito_153,39.0,59.0
Sprint 6,Requisito_268,35.0,24.0
Sprint 6,Requisito_270,39.0,52.0
Sprint 6,Requisito_285,27.0,114.0
Sprint 7,Requisito_35,26.0,71.0
Sprint 7,Requisito_36,53.0,53.0
Sprint 7,Requisito_38,21.0,141.0
Sprint 7,Requisito_174,45.0,91.0
Sprint 7,Requisito_209,20.0,31.0
Sprint 7,Requisito_259,51.0,60.0
Sprint 7,Requisito_277,13.0,25.0
Sprint 8,Requisito_145,12.0,50.0
Sprint 8,Requisito_159,29.0,118.0
Sprint 8,Requisito_175,11.0,31.0
Sprint 8,Requisito_260,5.0,112.0
Sprint 8,Requisito_262,46.0,45.0
Sprint 8,Requisito_271,41.0,124.0
Sprint 9,Requisito_19,4.0,61.0
Sprint 9,Requisito_39,31.0,57.0
Sprint 9,Requisito_40,21.0,37.0
Sprint 9,Requisito_78,37.0,102.0
Sprint 9,Requisito_101,23.0,43.0
Sprint 9,Requisito_255,33.0,87.0
Sprint 9,Requisito_280,13.0,91.0
Sprint 10,Requisito_17,30.0,121.0
Sprint 10,Requisito_27,3.0,121.0
Sprint 10,Requisito_216,4.0,86.0
Sprint 10,Requisito_224,3.0,136.0
Sprint 10,Requisito_279,39.0,16.0
Sprint 11,Requisito_155,26.0,81.0
Sprint 11,Requisito_256,44.0,23.0
Sprint 11,Requisito_257,16.0,139.0
Sprint 11,Requisito_264,35.0,129.0
Sprint 11,Requisito_269,33.0,44.0
Sprint 11,Requisito_283,24.0,59.0
Sprint 12,Requisito_20,33.0,106.0
Sprint 12,Requisito_22,34.0,102.0
Sprint 12,Requisito_253,12.0,117.0
Sprint 12,Requisito_254,51.0,144.0
Sprint 13,Requisito_7,8.0,81.0
Sprint 13,Requisito_24,20.0,19.0
