sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_109,5.0,24.0
Sprint 1,Requisito_115,9.0,39.0
Sprint 1,Requisito_139,17.0,34.0
Sprint 1,Requisito_203,5.0,26.0
Sprint 1,Requisito_266,5.0,24.0
Sprint 1,Requisito_294,5.0,30.0
Sprint 2,Requisito_26,4.0,20.0
Sprint 2,Requisito_36,7.0,35.0
Sprint 2,Requisito_55,16.0,15.0
Sprint 2,Requisito_97,15.0,37.0
Sprint 2,Requisito_136,1.0,38.0
Sprint 2,Requisito_147,12.0,34.0
Sprint 3,Requisito_3,4.0,19.0
Sprint 3,Requisito_32,9.0,27.0
Sprint 3,Requisito_86,3.0,19.0
Sprint 3,Requisito_106,9.0,38.0
Sprint 3,Requisito_111,14.0,29.0
Sprint 3,Requisito_227,12.0,17.0
Sprint 3,Requisito_254,11.0,25.0
Sprint 4,Requisito_18,15.0,17.0
Sprint 4,Requisito_45,16.0,17.0
Sprint 4,Requisito_58,11.0,21.0
Sprint 4,Requisito_92,10.0,17.0
Sprint 4,Requisito_128,4.0,27.0
Sprint 4,Requisito_143,5.0,17.0
Sprint 4,Requisito_165,2.0,19.0
Sprint 4,Requisito_213,13.0,37.0
Sprint 4,Requisito_231,13.0,8.0
Sprint 5,Requisito_13,7.0,35.0
Sprint 5,Requisito_68,18.0,32.0
Sprint 5,Requisito_87,16.0,30.0
Sprint 5,Requisito_100,17.0,26.0
Sprint 5,Requisito_221,7.0,25.0
Sprint 5,Requisito_287,11.0,32.0
Sprint 6,Requisito_56,4.0,38.0
Sprint 6,Requisito_125,17.0,36.0
Sprint 6,Requisito_137,10.0,40.0
Sprint 6,Requisito_199,12.0,22.0
Sprint 6,Requisito_289,16.0,40.0
Sprint 7,Requisito_50,14.0,37.0
Sprint 7,Requisito_65,13.0,28.0
Sprint 7,Requisito_69,3.0,14.0
Sprint 7,Requisito_76,13.0,24.0
Sprint 7,Requisito_140,7.0,14.0
Sprint 7,Requisito_242,11.0,40.0
Sprint 7,Requisito_278,13.0,21.0
Sprint 8,Requisito_14,16.0,11.0
Sprint 8,Requisito_19,16.0,15.0
Sprint 8,Requisito_131,9.0,20.0
Sprint 8,Requisito_138,2.0,33.0
Sprint 8,Requisito_180,6.0,10.0
Sprint 8,Requisito_218,6.0,16.0
Sprint 8,Requisito_220,6.0,20.0
Sprint 8,Requisito_224,3.0,15.0
Sprint 8,Requisito_253,9.0,19.0
Sprint 8,Requisito_257,18.0,21.0
Sprint 9,Requisito_2,1.0,14.0
Sprint 9,Requisito_31,3.0,18.0
Sprint 9,Requisito_185,4.0,16.0
Sprint 9,Requisito_216,12.0,9.0
Sprint 9,Requisito_219,9.0,29.0
Sprint 9,Requisito_261,11.0,27.0
Sprint 9,Requisito_264,3.0,24.0
Sprint 9,Requisito_282,16.0,39.0
Sprint 10,Requisito_142,14.0,40.0
Sprint 10,Requisito_151,10.0,18.0
Sprint 10,Requisito_232,13.0,39.0
Sprint 10,Requisito_238,15.0,20.0
Sprint 10,Requisito_246,16.0,16.0
Sprint 10,Requisito_247,6.0,31.0
Sprint 10,Requisito_280,14.0,14.0
Sprint 11,Requisito_126,3.0,28.0
Sprint 11,Requisito_150,3.0,30.0
Sprint 11,Requisito_157,1.0,40.0
Sprint 11,Requisito_171,17.0,30.0
Sprint 11,Requisito_211,6.0,10.0
Sprint 11,Requisito_217,9.0,10.0
Sprint 11,Requisito_262,2.0,13.0
Sprint 11,Requisito_281,4.0,17.0
Sprint 12,Requisito_34,4.0,32.0
Sprint 12,Requisito_62,12.0,8.0
Sprint 12,Requisito_95,13.0,27.0
Sprint 12,Requisito_113,11.0,23.0
Sprint 12,Requisito_152,14.0,32.0
Sprint 12,Requisito_188,13.0,32.0
Sprint 12,Requisito_256,13.0,25.0
Sprint 13,Requisito_176,9.0,39.0
Sprint 13,Requisito_206,1.0,33.0
Sprint 13,Requisito_214,1.0,21.0
Sprint 13,Requisito_226,3.0,22.0
Sprint 13,Requisito_251,18.0,11.0
Sprint 13,Requisito_285,18.0,8.0
Sprint 13,Requisito_299,18.0,32.0
Sprint 13,Requisito_300,1.0,13.0
Sprint 14,Requisito_27,12.0,25.0
Sprint 14,Requisito_52,4.0,25.0
Sprint 14,Requisito_93,2.0,12.0
Sprint 14,Requisito_114,10.0,17.0
Sprint 14,Requisito_119,1.0,17.0
Sprint 14,Requisito_168,6.0,28.0
Sprint 14,Requisito_200,7.0,27.0
Sprint 14,Requisito_298,15.0,28.0
Sprint 15,Requisito_41,12.0,11.0
Sprint 15,Requisito_73,3.0,9.0
Sprint 15,Requisito_88,16.0,11.0
Sprint 15,Requisito_89,7.0,11.0
Sprint 15,Requisito_107,4.0,9.0
Sprint 15,Requisito_121,4.0,9.0
Sprint 15,Requisito_135,14.0,18.0
Sprint 15,Requisito_144,13.0,11.0
Sprint 15,Requisito_154,15.0,9.0
Sprint 15,Requisito_192,9.0,13.0
Sprint 15,Requisito_210,9.0,11.0
Sprint 15,Requisito_240,18.0,16.0
Sprint 15,Requisito_248,6.0,9.0
Sprint 15,Requisito_275,14.0,9.0
Sprint 15,Requisito_283,14.0,13.0
Sprint 15,Requisito_291,6.0,11.0
Sprint 16,Requisito_79,9.0,19.0
Sprint 16,Requisito_120,13.0,14.0
Sprint 16,Requisito_169,17.0,36.0
Sprint 16,Requisito_174,5.0,40.0
