sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_81,7.0,124.0
Sprint 1,Requisito_85,23.0,123.0
Sprint 1,Requisito_99,33.0,100.0
Sprint 1,Requisito_132,21.0,125.0
Sprint 2,Requisito_105,21.0,133.0
Sprint 2,Requisito_118,12.0,124.0
Sprint 2,Requisito_143,17.0,92.0
Sprint 2,Requisito_145,50.0,83.0
Sprint 2,Requisito_169,53.0,37.0
Sprint 3,Requisito_1,34.0,97.0
Sprint 3,Requisito_13,28.0,66.0
Sprint 3,Requisito_84,20.0,81.0
Sprint 3,Requisito_113,19.0,138.0
Sprint 3,Requisito_159,45.0,77.0
Sprint 3,Requisito_173,25.0,16.0
Sprint 4,Requisito_4,25.0,128.0
Sprint 4,Requisito_10,26.0,41.0
Sprint 4,Requisito_189,5.0,91.0
Sprint 4,Requisito_190,42.0,125.0
Sprint 4,Requisito_200,27.0,93.0
Sprint 5,Requisito_15,22.0,41.0
Sprint 5,Requisito_49,26.0,31.0
Sprint 5,Requisito_89,44.0,84.0
Sprint 5,Requisito_104,3.0,125.0
Sprint 5,Requisito_111,4.0,28.0
Sprint 5,Requisito_185,10.0,75.0
Sprint 5,Requisito_187,27.0,60.0
Sprint 5,Requisito_193,38.0,25.0
Sprint 6,Requisito_112,48.0,108.0
Sprint 6,Requisito_149,7.0,34.0
Sprint 6,Requisito_174,21.0,55.0
Sprint 6,Requisito_179,5.0,19.0
Sprint 6,Requisito_180,36.0,140.0
Sprint 6,Requisito_196,7.0,123.0
Sprint 7,Requisito_103,41.0,34.0
Sprint 7,Requisito_172,14.0,142.0
Sprint 7,Requisito_176,35.0,124.0
Sprint 7,Requisito_177,19.0,56.0
Sprint 7,Requisito_181,11.0,27.0
Sprint 7,Requisito_184,29.0,90.0
Sprint 8,Requisito_140,10.0,39.0
Sprint 8,Requisito_162,7.0,105.0
Sprint 8,Requisito_167,20.0,66.0
Sprint 8,Requisito_168,9.0,121.0
Sprint 8,Requisito_186,47.0,128.0
Sprint 9,Requisito_120,42.0,89.0
Sprint 9,Requisito_160,5.0,42.0
Sprint 9,Requisito_163,45.0,31.0
Sprint 9,Requisito_165,42.0,91.0
Sprint 9,Requisito_178,14.0,48.0
Sprint 9,Requisito_182,32.0,103.0
Sprint 9,Requisito_194,38.0,69.0
Sprint 10,Requisito_9,43.0,50.0
Sprint 10,Requisito_122,32.0,35.0
Sprint 10,Requisito_153,50.0,100.0
Sprint 10,Requisito_155,8.0,143.0
Sprint 10,Requisito_156,38.0,37.0
Sprint 10,Requisito_195,34.0,101.0
Sprint 11,Requisito_7,35.0,131.0
